"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","annotation","interaction_name_2","id_cp_interaction","annotation_strategy","source","is_ppi","curator","reactome_complex","reactome_reaction","reactome_pathway","complexPortal_complex","comments","version","modulatory_effect"
"F2-ITGA2B+ITGB3","Prothrombin","F2","integrin_a2Bb3_complex","","","","","Ligand-Receptor","F2-ITGA2B+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"F2-ITGAV+ITGB3","Prothrombin","F2","integrin_aVb3_complex","","","","","Ligand-Receptor","F2-ITGAV+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"F2-THBD","Prothrombin","F2","THBD","","","","","Ligand-Receptor","F2-THBD",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"TNC-ITGA4+ITGB1","tenascin","TNC","integrin_a4b1_complex","","","","","Ligand-Receptor","TNC-ITGA4+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"TNC-ITGA8+ITGB1","tenascin","TNC","integrin_a8b1_complex","","","","","Ligand-Receptor","TNC-ITGA8+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"TNC-ITGA9+ITGB1","tenascin","TNC","integrin_a9b1_complex","","","","","Ligand-Receptor","TNC-ITGA9+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"TNC-ITGAV+ITGB3","tenascin","TNC","integrin_aVb3_complex","","","","","Ligand-Receptor","TNC-ITGAV+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"TNC-ITGAV+ITGB6","tenascin","TNC","integrin_aVb6_complex","","","","","Ligand-Receptor","TNC-ITGAV+ITGB6",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"THBS1-ITGA2B+ITGB3","Thrombospondin","THBS1","integrin_a2Bb3_complex","","","","","Ligand-Receptor","THBS1-ITGA2B+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"THBS1-ITGA3+ITGB1","Thrombospondin","THBS1","integrin_a3b1_complex","","","","","Ligand-Receptor","THBS1-ITGA3+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"THBS1-ITGAV+ITGB3","Thrombospondin","THBS1","integrin_aVb3_complex","","","","","Ligand-Receptor","THBS1-ITGAV+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VCAM1-ITGA4+ITGB1","VCAM","VCAM1","integrin_a4b1_complex","","","","","Ligand-Receptor","VCAM1-ITGA4+ITGB1",NA,"curated","PMC4368157","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VCAM1-ITGA4+ITGB7","VCAM","VCAM1","integrin_a4b7_complex","","","","","Ligand-Receptor","VCAM1-ITGA4+ITGB7",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VCAM1-ITGA9+ITGB1","VCAM","VCAM1","integrin_a9b1_complex","","","","","Ligand-Receptor","VCAM1-ITGA9+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VCAM1-ITGAD+ITGB2","VCAM","VCAM1","integrin_aDb2_complex","","","","","Ligand-Receptor","VCAM1-ITGAD+ITGB2",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VTN-ITGA2B+ITGB3","Vitronectin","VTN","integrin_a2Bb3_complex","","","","","Ligand-Receptor","VTN-ITGA2B+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VTN-ITGAV+ITGB1","Vitronectin","VTN","integrin_aVb1_complex","","","","","Ligand-Receptor","VTN-ITGAV+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"VTN-ITGAV+ITGB3","Vitronectin","VTN","integrin_aVb3_complex","","","","","Ligand-Receptor","VTN-ITGAV+ITGB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"PLA2G2A-ITGA4+ITGB1","Phospholipase","PLA2G2A","integrin_a4b1_complex","","","","","Ligand-Receptor","PLA2G2A-ITGA4+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"PLA2G2A-ITGA5+ITGB1","Phospholipase","PLA2G2A","integrin_a5b1_complex","","","","","Ligand-Receptor","PLA2G2A-ITGA5+ITGB1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRM1","Acetylcholine","Acetylcholine_byCHAT","CHRM1","","","","","Ligand-Receptor","CHAT-CHRM1",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-390649","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRM2","Acetylcholine","Acetylcholine_byCHAT","CHRM2","","","","","Ligand-Receptor","CHAT-CHRM2",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-390673","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRM3","Acetylcholine","Acetylcholine_byCHAT","CHRM3","","","","","Ligand-Receptor","CHAT-CHRM3",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-390649","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRM4","Acetylcholine","Acetylcholine_byCHAT","CHRM4","","","","","Ligand-Receptor","CHAT-CHRM4",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-390673","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRM5","Acetylcholine","Acetylcholine_byCHAT","CHRM5","","","","","Ligand-Receptor","CHAT-CHRM5",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-390649","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA1","Acetylcholine","Acetylcholine_byCHAT","CHRNA1","","","","","Ligand-Receptor","CHAT-CHRNA1",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629596","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA2+CHRNB3","Acetylcholine","Acetylcholine_byCHAT","AcetylcholineReceptor_a2b3","","","","","Ligand-Receptor","CHAT-CHRNA2+CHRNB3",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629599","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA3+CHRNA5+CHRNB2","Acetylcholine","Acetylcholine_byCHAT","AcetylcholineReceptor_a3b2a5","","","","","Ligand-Receptor","CHAT-CHRNA3+CHRNA5+CHRNB2",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629599","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA3+CHRNA5+CHRNB4","Acetylcholine","Acetylcholine_byCHAT","AcetylcholineReceptor_a3b4a5","","","","","Ligand-Receptor","CHAT-CHRNA3+CHRNA5+CHRNB4",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629599","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA4+CHRNA6+CHRNB3","Acetylcholine","Acetylcholine_byCHAT","AcetylcholineReceptor_a6a4b3","","","","","Ligand-Receptor","CHAT-CHRNA4+CHRNA6+CHRNB3",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629599","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA4+CHRNB2","Acetylcholine","Acetylcholine_byCHAT","AcetylcholineReceptor_a4b2","","","","","Ligand-Receptor","CHAT-CHRNA4+CHRNB2",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629599","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA6+CHRNB3+CHRNB4","Acetylcholine","Acetylcholine_byCHAT","AcetylcholineReceptor_a6b3b4","","","","","Ligand-Receptor","CHAT-CHRNA6+CHRNB3+CHRNB4",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629599","",NA,"","CellPhoneDBcore<=4.1",""
"CHAT-CHRNA7","Acetylcholine","Acetylcholine_byCHAT","CHRNA7","","","","","Ligand-Receptor","CHAT-CHRNA7",NA,"curated","reactome","False","LGarciaAlonso","","R-HSA-629596","",NA,"","CellPhoneDBcore<=4.1",""
"NT5E+SLC29A1-ADORA1","Adenosine","Adenosine_byNT5E_and_SLC29A1","ADORA1","","","","","Ligand-Receptor","NT5E+SLC29A1-ADORA1",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A1-ADORA2A","Adenosine","Adenosine_byNT5E_and_SLC29A1","ADORA2A","","","","","Ligand-Receptor","NT5E+SLC29A1-ADORA2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A1-ADORA2B","Adenosine","Adenosine_byNT5E_and_SLC29A1","ADORA2B","","","","","Ligand-Receptor","NT5E+SLC29A1-ADORA2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A1-ADORA3","Adenosine","Adenosine_byNT5E_and_SLC29A1","ADORA3","","","","","Ligand-Receptor","NT5E+SLC29A1-ADORA3",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A2-ADORA1","Adenosine","Adenosine_byNT5E_and_SLC29A2","ADORA1","","","","","Ligand-Receptor","NT5E+SLC29A2-ADORA1",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A2-ADORA2A","Adenosine","Adenosine_byNT5E_and_SLC29A2","ADORA2A","","","","","Ligand-Receptor","NT5E+SLC29A2-ADORA2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A2-ADORA2B","Adenosine","Adenosine_byNT5E_and_SLC29A2","ADORA2B","","","","","Ligand-Receptor","NT5E+SLC29A2-ADORA2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A2-ADORA3","Adenosine","Adenosine_byNT5E_and_SLC29A2","ADORA3","","","","","Ligand-Receptor","NT5E+SLC29A2-ADORA3",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A3-ADORA1","Adenosine","Adenosine_byNT5E_and_SLC29A3","ADORA1","","","","","Ligand-Receptor","NT5E+SLC29A3-ADORA1",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A3-ADORA2A","Adenosine","Adenosine_byNT5E_and_SLC29A3","ADORA2A","","","","","Ligand-Receptor","NT5E+SLC29A3-ADORA2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A3-ADORA2B","Adenosine","Adenosine_byNT5E_and_SLC29A3","ADORA2B","","","","","Ligand-Receptor","NT5E+SLC29A3-ADORA2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A3-ADORA3","Adenosine","Adenosine_byNT5E_and_SLC29A3","ADORA3","","","","","Ligand-Receptor","NT5E+SLC29A3-ADORA3",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A4-ADORA1","Adenosine","Adenosine_byNT5E_and_SLC29A4","ADORA1","","","","","Ligand-Receptor","NT5E+SLC29A4-ADORA1",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A4-ADORA2A","Adenosine","Adenosine_byNT5E_and_SLC29A4","ADORA2A","","","","","Ligand-Receptor","NT5E+SLC29A4-ADORA2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A4-ADORA2B","Adenosine","Adenosine_byNT5E_and_SLC29A4","ADORA2B","","","","","Ligand-Receptor","NT5E+SLC29A4-ADORA2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"NT5E+SLC29A4-ADORA3","Adenosine","Adenosine_byNT5E_and_SLC29A4","ADORA3","","","","","Ligand-Receptor","NT5E+SLC29A4-ADORA3",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRA1A","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRA1A","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRA1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRA1B","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRA1B","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRA1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRA1D","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRA1D","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRA1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRA2A","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRA2A","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRA2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRA2B","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRA2B","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRA2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRA2C","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRA2C","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRA2C",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRB1","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRB1","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRB1",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRB2","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRB2","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRB2",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A1-ADRB3","Adrenaline","Adrenaline_byPNMT_and_SLC18A1","ADRB3","","","","","Ligand-Receptor","PNMT+SLC18A1-ADRB3",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRA1A","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRA1A","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRA1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRA1B","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRA1B","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRA1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRA1D","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRA1D","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRA1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRA2A","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRA2A","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRA2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRA2B","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRA2B","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRA2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRA2C","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRA2C","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRA2C",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRB1","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRB1","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRB1",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRB2","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRB2","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRB2",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"PNMT+SLC18A2-ADRB3","Adrenaline","Adrenaline_byPNMT_and_SLC18A2","ADRB3","","","","","Ligand-Receptor","PNMT+SLC18A2-ADRB3",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"ADM-CALCRL+GPER1+RAMP3","Adrenomedullin","ADM","RAMP3_complex","","","","","Ligand-Receptor","ADM-CALCRL+GPER1+RAMP3",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ADM-RAMP3","Adrenomedullin","ADM","RAMP3","","","","","Ligand-Receptor","ADM-RAMP3",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ADM2-CALCRL+GPER1+RAMP3","Adrenomedullin","ADM2","RAMP3_complex","","","","","Ligand-Receptor","ADM2-CALCRL+GPER1+RAMP3",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ADM2-CALCRL+RAMP2","Adrenomedullin","ADM2","RAMP2_complex","","","","","Ligand-Receptor","ADM2-CALCRL+RAMP2",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"AGRP-MC2R","Agouti-related protein","AGRP","MC2R","","","","","Ligand-Receptor","AGRP-MC2R",NA,"curated","GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)","True","JCranley","","","",NA,"","CellPhoneDBcore4.1","Inhibitory"
"AGRP-MC3R","Agouti-related protein","AGRP","MC3R","","","","","Ligand-Receptor","AGRP-MC3R",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","Inhibitory"
"AGRP-MC4R","Agouti-related protein","AGRP","MC4R","","","","","Ligand-Receptor","AGRP-MC4R",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1","Inhibitory"
"AGRP-MC5R","Agouti-related protein","AGRP","MC5R","","","","","Ligand-Receptor","AGRP-MC5R",NA,"curated","GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)","True","JCranley","","","",NA,"","CellPhoneDBcore4.1","Inhibitory"
"ASIP-MC1R","Agouti-related protein","ASIP","MC1R","","","","","Ligand-Receptor","ASIP-MC1R",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"AGRN-LRP4+MUSK","Agrin","AGRN","LRP4_MUSK_complex","","","","","Ligand-Receptor","AGRN-LRP4+MUSK",NA,"curated","reactome","True","LGarciaAlonso","","R-HSA-2467633","",NA,"","CellPhoneDBcore<=4.1",""
"AGRN-PTPRS","Agrin","AGRN","PTPRS","","","","","Ligand-Receptor","AGRN-PTPRS",NA,"curated","reactome","True","LGarciaAlonso","","R-HSA-2467659","",NA,"","CellPhoneDBcore<=4.1",""
"IAPP-CALCR","Amylin","IAPP","CALCR","","","","","Ligand-Receptor","IAPP-CALCR",NA,"curated","GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)","True","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"IAPP-CALCR+RAMP1","Amylin","IAPP","AMY1_receptor","","","","","Ligand-Receptor","IAPP-CALCR+RAMP1",NA,"curated","reactome","True","LGarciaAlonso","","R-HSA-420265","",NA,"","CellPhoneDBcore<=4.1",""
"IAPP-CALCR+RAMP2","Amylin","IAPP","AMY2_receptor","","","","","Ligand-Receptor","IAPP-CALCR+RAMP2",NA,"curated","reactome","True","LGarciaAlonso","","R-HSA-420265","",NA,"","CellPhoneDBcore<=4.1",""
"IAPP-CALCR+RAMP3","Amylin","IAPP","AMY3_receptor","","","","","Ligand-Receptor","IAPP-CALCR+RAMP3",NA,"curated","reactome","True","LGarciaAlonso","","R-HSA-420265","",NA,"","CellPhoneDBcore<=4.1",""
"APP-CD74","Amyloid-beta precursor protein","APP","CD74","","","","","Ligand-Receptor","APP-CD74",NA,"curated","PMID:19849849","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"APP-FPR2","Amyloid-beta precursor protein","APP","FPR2","","","","","Ligand-Receptor","APP-FPR2",NA,"curated","reactome","True","LGarciaAlonso","R-HSA-416459","R-HSA-391913","",NA,"","CellPhoneDBcore<=4.1",""
"APP-PLXNA4","Amyloid-beta precursor protein","APP","PLXNA4","","","","","Ligand-Receptor","APP-PLXNA4",NA,"curated","Shilts screen - VALIDATED","True","JShilts","","","",NA,"","CellPhoneDBcore4.1",""
"APP-SORL1","Amyloid-beta precursor protein","APP","SORL1","","","","","Ligand-Receptor","APP-SORL1",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"APP-TNFRSF21","Amyloid-beta precursor protein","APP","TNFRSF21","","","","","Ligand-Receptor","APP-TNFRSF21",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"APP-TREM2+TYROBP","Amyloid-beta precursor protein","APP","TREM2_receptor","","","","","Ligand-Receptor","APP-TREM2+TYROBP",NA,"curated","uniprot;PMID:27477013","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"APLP2-PIGR","Amyloid-like protein","APLP2","PIGR","","","","","Ligand-Receptor","APLP2-PIGR",NA,"curated","Shilts screen - VALIDATED","True","JShilts","","","",NA,"","CellPhoneDBcore4.1",""
"APLP2-PLXNA4","Amyloid-like protein","APLP2","PLXNA4","","","","","Ligand-Receptor","APLP2-PLXNA4",NA,"curated","Shilts screen - VALIDATED","True","JShilts","","","",NA,"","CellPhoneDBcore4.1",""
"CYP11B2-NR3C1","Steroids","AldosteroneCorticosterone_byCYP11B2","NR3C1","","","","","Ligand-Receptor","CYP11B2-NR3C1",NA,"curated","HMRbase","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP11B2-NR3C2","Steroids","AldosteroneCorticosterone_byCYP11B2","NR3C2","","","","","Ligand-Receptor","CYP11B2-NR3C2",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"SRD5A1-AR","Steroids","Dihydrotestosterone_bySRD5A1","AR","","","","","Ligand-Receptor","SRD5A1-AR",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"SRD5A2-AR","Steroids","Dihydrotestosterone_bySRD5A2","AR","","","","","Ligand-Receptor","SRD5A2-AR",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"SRD5A3-AR","Steroids","Dihydrotestosterone_bySRD5A3","AR","","","","","Ligand-Receptor","SRD5A3-AR",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP17A1-AR","Steroids","Androstenedione_byCYP17A1","AR","","","","","Ligand-Receptor","CYP17A1-AR",NA,"curated","HMRbase;reactome","False","LGarciaAlonso","R-HSA-5618087","","",NA,"","CellPhoneDBcore<=4.1",""
"HSD17B6-NR1H4","Steroids","Androsterone_byHSD17B6","NR1H4","","","","","Ligand-Receptor","HSD17B6-NR1H4",NA,"curated","HMRbase","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP27B1-VDR","Steroids","Calcitriol_byCYP27B1","VDR","","","","","Ligand-Receptor","CYP27B1-VDR",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP11B1-NR3C1","Steroids","Corticosterone_byCYP11B1","NR3C1","","","","","Ligand-Receptor","CYP11B1-NR3C1",NA,"curated","HMRbase","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP11B1-NR3C2","Steroids","Corticosterone_byCYP11B1","NR3C2","","","","","Ligand-Receptor","CYP11B1-NR3C2",NA,"curated","uniprot;PMID:3037703","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP21A2-NR3C2","Steroids","Desoxycorticosterone_byCYP21A2","NR3C2","","","","","Ligand-Receptor","CYP21A2-NR3C2",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP19A1-ESR1","Steroids","Estradiol_byCYP19A1","ESR1","","","","","Ligand-Receptor","CYP19A1-ESR1",NA,"curated","HMRbase;reactome","False","LGarciaAlonso","R-HSA-9008284","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP19A1-ESR2","Steroids","Estradiol_byCYP19A1","ESR2","","","","","Ligand-Receptor","CYP19A1-ESR2",NA,"curated","HMRbase","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP19A1-GPER1","Steroids","Estradiol_byCYP19A1","GPER1","","","","","Ligand-Receptor","CYP19A1-GPER1",NA,"curated","reactome;uniprot","False","LGarciaAlonso","","R-HSA-374207","",NA,"","CellPhoneDBcore<=4.1",""
"CYP19A1-NR1I2","Steroids","Estradiol_byCYP19A1","NR1I2","","","","","Ligand-Receptor","CYP19A1-NR1I2",NA,"curated","HMRbase","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP11A1-NR1H4","Steroids","22Hydroxycholesterol_byCYP11A1","NR1H4","","","","","Ligand-Receptor","CYP11A1-NR1H4",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CYP3A4-NR1H4","Steroids","22Hydroxycholesterol_byCYP3A4","NR1H4","","","","","Ligand-Receptor","CYP3A4-NR1H4",NA,"curated","HMRbase;uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
