id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
109,1417,845,2
110,1418,838,2
111,1418,1091,2
112,1419,838,2
113,1419,845,2
114,1420,680,2
115,1420,1181,2
116,1421,196,2
117,1421,312,2
118,1422,738,2
119,1422,460,2
120,1423,738,2
121,1423,461,2
122,1424,738,2
123,1424,727,2
124,1425,1337,1
125,1426,1067,1
126,1427,1144,1
127,1428,1122,1
128,1429,465,3
129,1429,581,3
130,1429,561,3
131,1430,1134,1
132,1431,943,2
133,1431,101,2
134,1432,1156,1
135,1433,1136,1
136,1434,1137,1
137,1435,680,2
138,1435,665,2
139,1436,528,2
140,1436,965,2
141,1437,204,3
142,1437,206,3
143,1437,205,3
144,1438,382,2
145,1438,548,2
146,1439,1333,2
147,1439,166,2
148,1440,113,2
149,1440,1044,2
150,1441,118,2
151,1441,1044,2
152,1442,113,2
153,1442,1038,2
154,1443,118,2
155,1443,1038,2
156,1444,113,2
157,1444,766,2
158,1445,118,2
159,1445,766,2
160,1446,113,2
161,1446,986,2
162,1447,118,2
163,1447,986,2
164,1448,113,2
165,1448,1037,2
166,1449,118,2
167,1449,1037,2
168,1450,113,2
169,1450,746,2
170,1451,118,2
171,1451,746,2
172,1452,113,2
173,1452,96,2
174,1453,118,2
175,1453,96,2
176,1454,113,2
177,1454,109,2
178,1455,118,2
179,1455,109,2
180,1456,113,2
181,1456,965,2
182,1457,118,2
183,1457,965,2
184,1458,113,2
185,1458,39,2
186,1459,118,2
187,1459,39,2
188,1460,603,2
189,1460,881,2
190,1461,87,2
191,1461,881,2
192,1462,104,2
193,1462,881,2
194,1463,1333,2
195,1463,167,2
196,1464,257,2
197,1464,331,2
198,1465,521,2
199,1465,357,2
200,1466,1125,1
201,1467,263,2
202,1467,634,2
203,1468,350,2
204,1468,987,2
205,1469,469,2
206,1469,987,2
207,1470,752,2
208,1470,728,2
209,1471,771,2
210,1471,561,2
211,1472,486,2
212,1472,487,2
213,1473,580,2
214,1473,928,2
215,1474,687,2
216,1474,445,2
217,1475,740,2
218,1475,351,2
219,1476,790,2
220,1476,914,2
221,1477,907,2
222,1477,994,2
223,1478,907,2
224,1478,862,2
225,1479,907,2
226,1479,868,2
227,1480,748,2
228,1480,126,2
229,1481,195,3
230,1481,351,3
231,1481,508,3
232,1482,351,2
233,1482,508,2
234,1483,1028,2
235,1483,827,2
236,1484,859,2
237,1484,827,2
238,1485,972,2
239,1485,508,2
240,1486,859,2
241,1486,728,2
242,1487,487,2
243,1487,985,2
244,1488,580,2
245,1488,811,2
246,1489,1028,2
247,1489,728,2
248,1490,764,2
249,1490,866,2
250,1491,824,2
251,1491,561,2
252,1492,851,2
253,1492,728,2
254,1493,521,2
255,1493,464,2
256,1494,700,2
257,1494,987,2
258,1495,764,2
259,1495,486,2
260,1496,561,2
261,1496,928,2
262,1497,968,2
263,1497,987,2
264,1498,748,2
265,1498,818,2
266,1499,508,2
267,1499,445,2
268,1500,521,2
269,1500,699,2
270,1501,279,2
271,1501,561,2
272,1502,376,2
273,1502,508,2
274,1503,698,2
275,1503,508,2
276,1504,244,2
277,1504,117,2
278,1505,244,2
279,1505,1034,2
280,1506,244,2
281,1506,667,2
282,1507,244,2
283,1507,378,2
284,1508,271,2
285,1508,236,2
286,1509,244,2
287,1509,1341,2
288,1510,244,2
289,1510,339,2
290,1511,457,2
291,1511,339,2
292,1512,244,2
293,1512,277,2
294,1513,244,2
295,1513,440,2
296,1514,365,2
297,1514,440,2
298,1515,244,2
299,1515,753,2
300,1516,244,2
301,1516,649,2
302,1517,244,2
303,1517,756,2
304,1518,237,2
305,1518,745,2
306,1519,457,2
307,1519,559,2
308,1520,237,2
309,1520,407,2
310,1521,237,2
311,1521,315,2
312,1522,244,2
313,1522,252,2
314,1523,252,2
315,1523,236,2
316,1524,384,2
317,1524,252,2
318,1525,252,2
319,1525,388,2
320,1526,458,2
321,1526,252,2
322,1527,408,2
323,1527,237,2
324,1528,318,2
325,1528,1023,2
326,1529,1109,2
327,1529,118,2
328,1530,1100,2
329,1530,118,2
330,1531,1114,1
331,1532,1157,1
332,1533,401,3
333,1533,294,3
334,1533,1083,3
335,1534,396,2
336,1534,1078,2
337,1535,370,1
338,1536,1152,1
339,1537,1072,1
340,1538,581,2
341,1538,561,2
342,1539,1094,1
343,1540,294,3
344,1540,401,3
345,1540,1083,3
346,1541,76,2
347,1541,111,2
348,1542,1145,1
349,1543,1115,1
350,1544,797,2
351,1544,551,2
352,1545,797,2
353,1545,44,2
354,1546,797,2
355,1546,718,2
356,1547,462,2
357,1547,1018,2
358,1548,552,3
359,1548,466,3
360,1548,298,3
361,1549,552,3
362,1549,466,3
363,1549,334,3
364,1550,552,3
365,1550,754,3
366,1550,298,3
367,1551,552,3
368,1551,754,3
369,1551,334,3
370,1552,865,3
371,1552,754,3
372,1552,298,3
373,1553,865,3
374,1553,754,3
375,1553,334,3
376,1554,927,2
377,1554,561,2
378,1555,367,2
379,1555,291,2
380,1556,356,2
381,1556,510,2
382,1557,1030,2
383,1557,548,2
384,1558,1030,3
385,1558,1003,3
386,1558,91,3
387,1559,64,2
388,1559,1030,2
389,1560,64,2
390,1560,108,2
391,1561,64,2
392,1561,642,2
393,1562,64,2
394,1562,978,2
395,1563,1123,4
396,1563,1112,4
397,1563,1080,4
398,1563,1107,4
399,1564,1077,1
400,1565,1150,1
401,1566,1090,1
402,1567,1097,1
403,1568,1066,1
404,1569,1105,1
405,1570,1142,1
406,1571,1068,1
407,1572,1075,1
408,1573,1127,2
409,1573,939,2
410,1574,1127,2
411,1574,806,2
412,1575,1127,2
413,1575,656,2
414,1576,1073,2
415,1576,939,2
416,1577,1073,2
417,1577,806,2
418,1578,1073,2
419,1578,656,2
420,1579,793,2
421,1579,105,2
422,1580,793,2
423,1580,106,2
424,1581,107,3
425,1581,793,3
426,1581,925,3
427,1582,1118,2
428,1582,1076,2
429,1583,1128,2
430,1583,1076,2
431,1584,1140,2
432,1584,1076,2
433,1585,1070,2
434,1585,1076,2
435,1586,1069,2
436,1586,1076,2
437,1587,1119,2
438,1587,1076,2
439,1588,1070,3
440,1588,1118,3
441,1588,1076,3
442,1589,1069,3
443,1589,1128,3
444,1589,1076,3
445,1590,1119,3
446,1590,1140,3
447,1590,1076,3
448,1591,261,2
449,1591,666,2
450,1592,261,2
451,1592,51,2
452,1593,261,2
453,1593,103,2
454,1594,261,2
455,1594,956,2
456,1595,1139,1
457,1596,45,2
458,1596,91,2
459,1597,546,2
460,1597,650,2
461,1598,1102,1
462,1599,1117,1
463,1600,1149,1
464,1601,553,2
465,1601,556,2
466,1602,556,2
467,1602,718,2
468,1603,553,2
469,1603,466,2
470,1604,553,2
471,1604,754,2
472,1605,553,2
473,1605,757,2
474,1606,1111,1
475,1607,848,2
476,1607,919,2
477,1608,1333,2
478,1608,165,2
479,1609,1003,2
480,1609,91,2
481,1610,657,2
482,1610,172,2
483,1611,376,2
484,1611,976,2
485,1612,377,2
486,1612,616,2
487,1613,355,2
488,1613,558,2
489,1614,728,2
490,1614,851,2
491,1615,1321,2
492,1615,1301,2
493,1616,1321,2
494,1616,1331,2
495,1617,1321,2
496,1617,1332,2
497,1618,1322,2
498,1618,1301,2
499,1619,1322,2
500,1619,1331,2
501,1620,1322,2
502,1620,1332,2
503,1621,599,5
504,1621,127,5
505,1621,885,5
506,1621,836,5
507,1621,32,5
508,1622,1278,2
509,1622,1089,2
510,1623,1324,2
511,1623,1089,2
512,1624,1297,2
513,1624,1089,2
514,1625,1290,2
515,1625,1158,2
516,1626,1291,2
517,1626,1158,2
518,1627,1292,2
519,1627,1158,2
520,1628,1293,2
521,1628,1158,2
522,1629,1156,2
523,1629,1331,2
524,1630,1156,2
525,1630,1332,2
526,1631,1139,1
527,1632,162,1
528,1633,1139,2
529,1633,1300,2
530,1634,1139,2
531,1634,1331,2
532,1635,1139,2
533,1635,1332,2
534,1636,1329,2
535,1636,1195,2
536,1637,1298,2
537,1637,1195,2
538,1638,1294,2
539,1638,1195,2
540,1639,1295,2
